from_id,to_id,x_0,y_0,z_0,x_1,y_1,z_1
363,61,558338.350473112,4868272.079644086,0.0,558338.350473112,4868297.079644086,0.0
158,364,558238.350473112,4868697.079644086,0.0,558263.350473112,4868697.079644086,0.0
364,159,558263.350473112,4868697.079644086,0.0,558288.350473112,4868697.079644086,0.0
116,365,559538.350473112,4868497.079644086,0.0,559563.350473112,4868497.079644086,0.0
50,366,558538.350473112,4868197.079644086,0.0,558555.0171397786,4868213.746310753,0.0
366,367,558555.0171397786,4868213.746310753,0.0,558571.6838064453,4868230.412977419,0.0
367,56,558571.6838064453,4868230.412977419,0.0,558588.350473112,4868247.079644086,0.0
55,368,558488.350473112,4868247.079644086,0.0,558488.350473112,4868272.079644086,0.0
368,62,558488.350473112,4868272.079644086,0.0,558488.350473112,4868297.079644086,0.0
184,369,558238.350473112,4868897.079644086,0.0,558238.350473112,4868922.079644086,0.0
369,189,558238.350473112,4868922.079644086,0.0,558238.350473112,4868947.079644086,0.0
98,370,559088.350473112,4868447.079644086,0.0,559071.6838064453,4868463.746310753,0.0
370,371,559071.6838064453,4868463.746310753,0.0,559055.0171397786,4868480.412977419,0.0
371,109,559055.0171397786,4868480.412977419,0.0,559038.350473112,4868497.079644086,0.0
72,372,558538.350473112,4868347.079644086,0.0,558555.0171397786,4868363.746310753,0.0
372,373,558555.0171397786,4868363.746310753,0.0,558571.6838064453,4868380.412977419,0.0
373,83,558571.6838064453,4868380.412977419,0.0,558588.350473112,4868397.079644086,0.0
120,374,558388.350473112,4868547.079644086,0.0,558371.6838064453,4868563.746310753,0.0
374,375,558371.6838064453,4868563.746310753,0.0,558355.0171397786,4868580.412977419,0.0
375,136,558355.0171397786,4868580.412977419,0.0,558338.350473112,4868597.079644086,0.0
142,376,558088.350473112,4868647.079644086,0.0,558071.6838064453,4868663.746310753,0.0
376,377,558071.6838064453,4868663.746310753,0.0,558055.0171397786,4868680.412977419,0.0
377,154,558055.0171397786,4868680.412977419,0.0,558038.350473112,4868697.079644086,0.0
206,378,557938.350473112,4869197.079644086,0.0,557938.350473112,4869222.079644086,0.0
378,210,557938.350473112,4869222.079644086,0.0,557938.350473112,4869247.079644086,0.0
17,379,558538.350473112,4867897.079644086,0.0,558538.350473112,4867922.079644086,0.0
379,19,558538.350473112,4867922.079644086,0.0,558538.350473112,4867947.079644086,0.0
180,380,558388.350473112,4868847.079644086,0.0,558371.6838064453,4868863.746310753,0.0
380,381,558371.6838064453,4868863.746310753,0.0,558355.0171397786,4868880.412977419,0.0
381,185,558355.0171397786,4868880.412977419,0.0,558338.350473112,4868897.079644086,0.0
