DATE,RCH[m3/s],RCH[m/day],m3/d,R_h
2018-06-23,0.124053804,0.002314957,10718.2486656,11447.357422803798
2018-06-24,0.102864861,0.001919552,8887.523990400001,10301.769131931269
2018-06-25,0.095573556,0.001783489,8257.5552384,9744.69262347689
2018-06-26,0.087810206,0.001638618,7586.8017984,9154.163928766126
2018-06-27,0.092090994,0.001718501,7956.6618816,9145.553477938869
2018-06-28,0.08303292,0.00154947,7174.044288,8533.016626099427
2018-06-29,0.079516297,0.001483846,6870.2080608,8169.573849261506
2018-06-30,0.075230973,0.001403878,6499.956067200001,7776.619002524896
2018-07-01,0.073081207,0.001363762,6314.2162848,7492.01451561141
2018-07-02,0.074892714,0.001397566,6470.7304896,7416.335860033812
2018-07-03,0.072046572,0.001344454,6224.8238208,7143.784306957079
2018-07-04,0.067232713,0.001254623,5808.9064032,6778.056910863088
2018-07-05,0.062614781,0.001168449,5409.9170784,6414.951924654256
2018-07-06,0.058328558,0.001088464,5039.5874112,6063.159135874661
2018-07-07,0.05547845,0.001035278,4793.3380799999995,5779.496975636208
2018-07-08,0.052497897,0.000979658,4535.8183008000005,5494.648456103139
2018-07-09,0.049162136,0.00091741,4247.6085504,5196.132676632698
2018-07-10,0.046700138,0.000871467,4034.8919232000003,4942.0908214561205
2018-07-11,0.045107451,0.000841746,3897.2837664,4736.646326324264
2018-07-12,0.043250454,0.000807093,3736.8392256,4527.682179678867
2018-07-13,0.040579179,0.000757244,3506.0410656,4285.409214907825
2018-07-14,0.045939813,0.000857279,3969.1998432,4440.298177236729
2018-07-15,0.047652924,0.000889247,4117.2126336,4458.711700999587
2018-07-16,0.044894701,0.000837776,3878.9021664,4275.064865259646
2018-07-17,0.043747065,0.00081636,3779.746416,4163.083309691296
2018-07-18,0.042106048,0.000785737,3637.9625472,4028.599339358514
2018-07-19,0.040062538,0.000747603,3461.4032832000003,3873.2714079763223
2018-07-20,0.040261566,0.000751317,3478.5993024,3825.411601451637
2018-07-21,0.046517932,0.000868067,4019.1493247999997,4084.971392352408
2018-07-22,0.045392724,0.000847069,3921.9313536000004,4020.3420593110714
2018-07-23,0.042574261,0.000794474,3678.4161504000003,3867.7608946875216
2018-07-24,0.040576553,0.000757195,3505.8141792,3742.8695069032683
2018-07-25,0.038545883,0.000719301,3330.3642912000005,3609.675324864811
2018-07-26,0.03745181,0.000698885,3235.836384,3516.690873047737
2018-07-27,0.036593153,0.000682861,3161.6484192000003,3435.084104645054
