,date,S_m,R_o_m,R_h_m,R_o (m3/d),R_h (m3/d)
924,2019-07-14,0.010929334189951977,0.0012143704655502197,0.0,5621.665766244183,0.0
925,2019-07-15,0.03532997841993637,0.003925553157770707,0.0036829999999999996,18172.50042441741,17049.652972
926,2019-07-16,0.03225572834284069,0.003583969815871188,0.0004318,16591.214125095437,1998.9248312
927,2019-07-17,0.026081302702026007,0.0028979225224473344,0.0,13415.306366405086,0.0
928,2019-07-18,0.05081304093794585,0.005645893437549539,0.0038099999999999996,26136.44415615308,17637.57204
929,2019-07-19,0.04700306126864106,0.00522256236318234,0.0006858000000000001,24176.724386882197,3174.7629672000003
930,2019-07-20,0.05815540915647083,0.00646171212849676,0.0022352,29913.100569055994,10347.3755968
931,2019-07-21,0.0473223486979666,0.005258038744218512,0.0,24340.95462999085,0.0
932,2019-07-22,0.03702954383633321,0.004114393759592579,0.0,19046.697200981773,0.0
933,2019-07-23,0.027799218220046825,0.0030888020244496475,0.0,14298.941790952362,0.0
934,2019-07-24,0.02000650593273602,0.0022229451036373357,0.0,10290.64420114666,0.0
935,2019-07-25,0.013928089200686907,0.0015475654667429898,0.0,7164.120054145855,0.0
936,2019-07-26,0.0074917032030671965,0.0008324114670074664,0.0,3853.4690856341917,0.0
937,2019-07-27,0.0009600136337808852,0.00010666818153120947,0.0,493.7973060715235,0.0
938,2019-07-28,0.0012664094263211642,0.00014071215848012936,0.0002794,651.3965438575271,1293.4219496
939,2019-07-29,0.0,0.0,0.0,0.0,0.0
940,2019-07-30,0.0,0.0,0.0,0.0,0.0
941,2019-07-31,0.0,0.0,0.0,0.0,0.0
942,2019-08-01,0.0,0.0,0.0,0.0,0.0
943,2019-08-02,0.0,0.0,0.0,0.0,0.0
944,2019-08-03,0.0,0.0,0.0,0.0,0.0
945,2019-08-04,0.0,0.0,0.0,0.0,0.0
946,2019-08-05,0.00808697784489796,0.0008985530938775511,0.001397,4159.657460637845,6467.109748
947,2019-08-06,0.0017651277991836735,0.00019612531102040817,0.0,907.9197643017992,0.0
948,2019-08-07,0.0,0.0,0.0,0.0,0.0
949,2019-08-08,0.0,0.0,0.0,0.0,0.0
950,2019-08-09,0.0,0.0,0.0,0.0,0.0
951,2019-08-10,0.0,0.0,0.0002032,0.0,940.6705088
952,2019-08-11,0.0,0.0,0.0,0.0,0.0
953,2019-08-12,0.002783910093061225,0.0003093233436734695,0.0005588,1431.9456056940935,2586.8438992
954,2019-08-13,0.0,0.0,5.08e-05,0.0,235.1676272
955,2019-08-14,0.0,0.0,0.0,0.0,0.0
956,2019-08-15,0.0,0.0,0.0,0.0,0.0
957,2019-08-16,0.0,0.0,2.54e-05,0.0,117.5838136
958,2019-08-17,0.0,0.0,0.0,0.0,0.0
959,2019-08-18,7.314862040816352e-05,8.127624489795947e-06,0.0005842,37.62508200862054,2704.4277128
960,2019-08-19,0.0,0.0,0.0,0.0,0.0
961,2019-08-20,0.0,0.0,5.08e-05,0.0,235.1676272
962,2019-08-21,0.0,0.0,0.0,0.0,0.0
963,2019-08-22,0.0,0.0,0.0,0.0,0.0
964,2019-08-23,0.0,0.0,0.0,0.0,0.0
965,2019-08-24,0.0,0.0,0.0,0.0,0.0
966,2019-08-25,0.0,0.0,0.0,0.0,0.0
967,2019-08-26,0.006903163836734694,0.0007670182040816327,0.0009906000000000001,3550.745099863837,4585.7687304
968,2019-08-27,0.0013391363020408167,0.00014879292244897964,0.0,688.8046952063022,0.0
969,2019-08-28,0.0,0.0,0.0,0.0,0.0
970,2019-08-29,0.0,0.0,0.0,0.0,0.0
