Kh_0,Kh_1,Kv_0,Kv_1,C_spring,C_creek,success,mrsw_head,mrsw_error,bs_q,bs_error,head_above_surface_error,Kv_1_ss,Kv_0_ss,Kh_1_ss,Kh_0_ss,results_weighted_RMSE
3.1,0.1,7.1,1.1,400.0,2.0,True,386.2507862441116,5.732475880628954,4154.575396741973,-1576.678106271721,264716.0,350.0,200.0,300.0,400.0,0.4470040674745571
7.1,2.1,3.1,0.1,100.0,5.0,True,382.2942816873115,1.7759713238288555,574.9990763703827,-5156.254426643312,61232.0,500.0,300.0,100.0,350.0,0.9033620352579144
8.1,2.1,8.1,0.1,400.0,6.0,False,,,,,,200.0,100.0,350.0,400.0,
8.1,3.1,8.1,3.1,100.0,9.0,False,,,,,,100.0,150.0,100.0,500.0,
7.1,2.1,3.1,2.1,400.0,9.0,True,381.174074876898,0.6557645134153063,1177.5729125343205,-4553.680590479374,39223.0,300.0,200.0,200.0,300.0,0.7962467170297891
5.1,3.1,6.1,2.1,200.0,7.0,True,381.836189853237,1.3178794897543185,894.0510965396679,-4837.202406474026,48743.0,250.0,300.0,150.0,300.0,0.8464964195352541
2.1,4.1,0.1,3.1,450.0,9.0,False,,,,,,250.0,150.0,300.0,400.0,
0.1,1.1,8.1,2.1,150.0,10.0,True,386.7574969008291,6.239186537346427,1397.3773359047846,-4333.87616710891,402712.0,100.0,450.0,200.0,400.0,0.9267362780873781
2.1,4.1,9.1,1.1,400.0,3.0,False,,,,,,400.0,250.0,450.0,500.0,
3.1,1.1,3.1,2.1,350.0,6.0,True,383.1345611073665,2.6162507438838247,2286.318738573668,-3444.934764440027,72877.0,450.0,500.0,400.0,350.0,0.608879196155034
7.1,3.1,5.1,3.1,300.0,1.0,True,386.3889599584717,5.870649594989004,3310.6620825401187,-2420.5914204735755,196204.0,300.0,150.0,500.0,300.0,0.49667398191933604
1.1,3.1,6.1,4.1,350.0,10.0,True,382.5947467259765,2.076436362493837,1955.5849803776944,-3775.668522636,57659.0,150.0,100.0,500.0,450.0,0.6632548253014213
2.1,0.1,1.1,1.1,300.0,3.0,False,,,,,,300.0,400.0,500.0,400.0,
3.1,2.1,6.1,2.1,350.0,10.0,True,382.2572224191838,1.738912055701121,1577.541861447593,-4153.711641566101,49067.0,300.0,400.0,400.0,100.0,0.7276928248109376
2.1,1.1,0.1,4.1,150.0,2.0,True,387.1216359916114,6.603325628128744,2103.2209035996566,-3628.0325994140376,358698.0,100.0,250.0,500.0,200.0,0.7927957575539117
4.1,3.1,6.1,4.1,500.0,8.0,True,381.6450290781062,1.1267187146235074,1995.368913168612,-3735.884589845082,43854.0,450.0,100.0,500.0,500.0,0.6544541280115741
4.1,1.1,7.1,4.1,500.0,5.0,True,382.9444707864091,2.4261604229264435,2857.797064940736,-2873.456438072958,65205.0,350.0,250.0,250.0,400.0,0.5088481400161329
5.1,0.1,5.1,4.1,400.0,2.0,True,385.2367749342598,4.718464570777144,3614.17045198998,-2117.0830510237147,149123.0,500.0,350.0,400.0,150.0,0.4194341321061985
6.1,3.1,5.1,1.1,500.0,5.0,True,381.6623019694397,1.1439916059570123,2122.2337171770923,-3609.019785836602,52114.0,150.0,350.0,350.0,300.0,0.6335172854160713
7.1,3.1,4.1,3.1,450.0,3.0,True,382.20516505911087,1.686854695628199,2379.175056809967,-3352.078446203728,66072.0,300.0,150.0,250.0,300.0,0.5914556596748979
3.1,1.1,6.1,4.1,400.0,3.0,True,384.4167793843724,3.8984690208897064,3199.7257461043773,-2531.527756909317,118917.0,350.0,300.0,100.0,400.0,0.46926888269083494
9.1,1.1,7.1,3.1,500.0,5.0,True,381.55052168790206,1.032211324419393,1866.5986525422777,-3864.654850471417,49614.0,250.0,150.0,200.0,300.0,0.6775374048273978
6.1,2.1,3.1,2.1,500.0,1.0,True,386.11503785191786,5.596727488435192,4904.197042112035,-827.0564609016592,177188.0,350.0,150.0,500.0,450.0,0.2766836189099148
7.1,2.1,9.1,3.1,400.0,6.0,True,381.569142315384,1.0508319519013298,1580.3651335380564,-4150.888369475638,47342.0,350.0,100.0,400.0,200.0,0.7269908792250369
