from_id,to_id,x_0,y_0,z_0,x_1,y_1,z_1,is_conduit
1465.0,335.0,558238.350473112,4868522.079644086,0.0,558238.350473112,4868547.079644086,0.0,True
232.0,1551.0,558438.350473112,4868147.079644086,0.0,558438.350473112,4868172.079644086,0.0,True
1551.0,1552.0,558438.350473112,4868172.079644086,0.0,558438.350473112,4868197.079644086,0.0,True
1552.0,1553.0,558438.350473112,4868197.079644086,0.0,558438.350473112,4868222.079644086,0.0,True
1553.0,261.0,558438.350473112,4868222.079644086,0.0,558438.350473112,4868247.079644086,0.0,True
357.0,1562.0,558238.350473112,4868647.079644086,0.0,558238.350473112,4868672.079644086,0.0,True
1562.0,1563.0,558238.350473112,4868672.079644086,0.0,558238.350473112,4868697.079644086,0.0,True
1563.0,1564.0,558238.350473112,4868697.079644086,0.0,558238.350473112,4868722.079644086,0.0,True
1564.0,377.0,558238.350473112,4868722.079644086,0.0,558238.350473112,4868747.079644086,0.0,True
383.0,1642.0,558838.350473112,4868747.079644086,0.0,558863.350473112,4868747.079644086,0.0,True
1642.0,1643.0,558863.350473112,4868747.079644086,0.0,558888.350473112,4868747.079644086,0.0,True
1643.0,1644.0,558888.350473112,4868747.079644086,0.0,558913.350473112,4868747.079644086,0.0,True
1644.0,384.0,558913.350473112,4868747.079644086,0.0,558938.350473112,4868747.079644086,0.0,True
414.0,1950.0,558538.350473112,4868947.079644086,0.0,558521.6838064453,4868963.746310753,0.0,True
1950.0,1951.0,558521.6838064453,4868963.746310753,0.0,558505.0171397786,4868980.412977419,0.0,True
1951.0,1952.0,558505.0171397786,4868980.412977419,0.0,558488.350473112,4868997.079644086,0.0,True
1952.0,1953.0,558488.350473112,4868997.079644086,0.0,558471.6838064453,4869013.746310753,0.0,True
1953.0,1954.0,558471.6838064453,4869013.746310753,0.0,558455.0171397786,4869030.412977419,0.0,True
1954.0,427.0,558455.0171397786,4869030.412977419,0.0,558438.350473112,4869047.079644086,0.0,True
426.0,2052.0,558338.350473112,4869047.079644086,0.0,558363.350473112,4869047.079644086,0.0,True
2052.0,2053.0,558363.350473112,4869047.079644086,0.0,558388.350473112,4869047.079644086,0.0,True
2053.0,2054.0,558388.350473112,4869047.079644086,0.0,558413.350473112,4869047.079644086,0.0,True
2054.0,427.0,558413.350473112,4869047.079644086,0.0,558438.350473112,4869047.079644086,0.0,True
422.0,2119.0,557938.350473112,4869047.079644086,0.0,557938.350473112,4869072.079644086,0.0,True
2119.0,2120.0,557938.350473112,4869072.079644086,0.0,557938.350473112,4869097.079644086,0.0,True
2120.0,2121.0,557938.350473112,4869097.079644086,0.0,557938.350473112,4869122.079644086,0.0,True
2121.0,434.0,557938.350473112,4869122.079644086,0.0,557938.350473112,4869147.079644086,0.0,True
376.0,2191.0,558138.350473112,4868747.079644086,0.0,558121.6838064453,4868763.746310753,0.0,True
2191.0,2192.0,558121.6838064453,4868763.746310753,0.0,558105.0171397786,4868780.412977419,0.0,True
2192.0,2193.0,558105.0171397786,4868780.412977419,0.0,558088.350473112,4868797.079644086,0.0,True
2193.0,2194.0,558088.350473112,4868797.079644086,0.0,558071.6838064453,4868813.746310753,0.0,True
2194.0,2195.0,558071.6838064453,4868813.746310753,0.0,558055.0171397786,4868830.412977419,0.0,True
2195.0,393.0,558055.0171397786,4868830.412977419,0.0,558038.350473112,4868847.079644086,0.0,True
2281.0,2282.0,558338.350473112,4867997.079644086,0.0,558338.350473112,4868022.079644086,0.0,True
2282.0,202.0,558338.350473112,4868022.079644086,0.0,558338.350473112,4868047.079644086,0.0,True
