t, Q
2518020.0,0.04471238890945595
2518030.0,0.04471235593875788
2518040.0,0.04471234248590212
2518050.0,0.04471227339712586
2518060.0,0.044712246767597795
2518070.0,0.04471221849623165
2518080.0,0.04471221061054845
2518090.0,0.04471225540520114
2518100.0,0.04471227407950466
2518110.0,0.04471234101471245
2518120.0,0.044712362046835
2518130.0,0.04471238413170105
2518140.0,0.044712354399920405
2518150.0,0.04471231319498633
2518160.0,0.04471229588473524
2518170.0,0.044712232419942995
2518180.0,0.044712219811576685
2518190.0,0.044712213979687485
2518200.0,0.044712254327269274
2518210.0,0.04471230279836004
2518220.0,0.044712313063007325
2518230.0,0.044712385271612455
2518240.0,0.044712370109156414
2518250.0,0.044712365261422186
2518260.0,0.04471231214016819
2518270.0,0.04471226098863217
2518280.0,0.04471225462850885
2518290.0,0.04471219548051105
2518300.0,0.044712234044859765
2518310.0,0.044712247895134075
2518320.0,0.04471229181648256
2518330.0,0.04471235484592453
2518340.0,0.0447123579657598
2518350.0,0.0447123924750226
2518360.0,0.04471233422476711
2518370.0,0.04471231841031518
2518380.0,0.0447122675916197
2518390.0,0.044712216545786165
2518400.0,0.04471222295091001
2518410.0,0.04471221831989772
2518420.0,0.04471227955363362
2518430.0,0.04471229676837636
2518440.0,0.04471234549155168
2518450.0,0.04471238726807027
2518460.0,0.04471236780983034
2518470.0,0.04471234807351377
2518480.0,0.044712286506210445
2518490.0,0.044712269707484875
2518500.0,0.04471222510845476
2518510.0,0.044712207776044795
2518520.0,0.04471223586623235
2518530.0,0.0447122574850315
2518540.0,0.04471232537730161
2518550.0,0.04471234539312119
2518560.0,0.044712380608481234
2518570.0,0.04471237462937023
2518580.0,0.044712335463107614
2518590.0,0.04471231243373587
2518600.0,0.0447122441000672
2518610.0,0.04471223124506067
2518620.0,0.04471220376671721
2518630.0,0.04471224558868529
2518640.0,0.044712280511701424
2518650.0,0.044712300866897745
2518660.0,0.044712368206138074
2518670.0,0.044712369155088895
2518680.0,0.04471238040084945
2518690.0,0.044712328359671566
2518700.0,0.04471228604795602
2518710.0,0.04471227176600117
2518720.0,0.0447122004587532
2518730.0,0.04471222646191991
2518740.0,0.044712228895634566
2518750.0,0.04471229017453188
